id,season,city,date,team1,team2,toss_winner,toss_decision,result,dl_applied,winner,win_by_runs,win_by_wickets,venue
499,2023,Delhi,2021-05-13,Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders,field,normal,1,Mumbai Indians,67,6,MA Chidambaram Stadium
500,2024,Mumbai,2021-05-14,Chennai Super Kings,Rajasthan Royals,Royal Challengers Bangalore,field,tie,1,Kolkata Knight Riders,10,8,MA Chidambaram Stadium
501,2020,Kolkata,2021-05-15,Kolkata Knight Riders,Delhi Capitals,Royal Challengers Bangalore,bat,tie,0,Royal Challengers Bangalore,3,5,Eden Gardens
502,2020,Delhi,2021-05-16,Kolkata Knight Riders,Sunrisers Hyderabad,Mumbai Indians,field,tie,0,Chennai Super Kings,31,6,Wankhede Stadium
503,2024,Jaipur,2021-05-17,Kolkata Knight Riders,Rajasthan Royals,Royal Challengers Bangalore,bat,tie,0,Royal Challengers Bangalore,56,2,M Chinnaswamy Stadium
504,2022,Mohali,2021-05-18,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,field,tie,0,Royal Challengers Bangalore,72,8,M Chinnaswamy Stadium
505,2024,Chennai,2021-05-19,Kolkata Knight Riders,Punjab Kings,Royal Challengers Bangalore,field,tie,0,Royal Challengers Bangalore,49,9,M Chinnaswamy Stadium
506,2023,Delhi,2021-05-20,Chennai Super Kings,Delhi Capitals,Kolkata Knight Riders,field,tie,0,Royal Challengers Bangalore,77,3,Wankhede Stadium
507,2024,Chennai,2021-05-21,Chennai Super Kings,Delhi Capitals,Kolkata Knight Riders,field,tie,0,Kolkata Knight Riders,26,0,Wankhede Stadium
508,2022,Mumbai,2021-05-22,Chennai Super Kings,Delhi Capitals,Royal Challengers Bangalore,field,normal,0,Chennai Super Kings,64,8,MA Chidambaram Stadium
509,2023,Chennai,2021-05-23,Royal Challengers Bangalore,Rajasthan Royals,Kolkata Knight Riders,bat,tie,0,Chennai Super Kings,11,7,Wankhede Stadium
510,2021,Mohali,2021-05-24,Mumbai Indians,Sunrisers Hyderabad,Chennai Super Kings,field,normal,0,Kolkata Knight Riders,73,5,Wankhede Stadium
511,2022,Kolkata,2021-05-25,Royal Challengers Bangalore,Rajasthan Royals,Chennai Super Kings,bat,tie,0,Kolkata Knight Riders,42,5,MA Chidambaram Stadium
512,2024,Jaipur,2021-05-26,Royal Challengers Bangalore,Punjab Kings,Chennai Super Kings,field,normal,0,Kolkata Knight Riders,70,9,Eden Gardens
513,2021,Jaipur,2021-05-27,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,field,tie,1,Chennai Super Kings,21,0,MA Chidambaram Stadium
514,2024,Jaipur,2021-05-28,Royal Challengers Bangalore,Punjab Kings,Mumbai Indians,field,normal,0,Mumbai Indians,12,2,Wankhede Stadium
515,2021,Mohali,2021-05-29,Mumbai Indians,Punjab Kings,Chennai Super Kings,bat,tie,0,Kolkata Knight Riders,62,4,MA Chidambaram Stadium
516,2022,Jaipur,2021-05-30,Chennai Super Kings,Punjab Kings,Chennai Super Kings,field,normal,0,Royal Challengers Bangalore,29,7,M Chinnaswamy Stadium
517,2024,Chennai,2021-05-31,Mumbai Indians,Punjab Kings,Chennai Super Kings,bat,normal,0,Chennai Super Kings,11,0,M Chinnaswamy Stadium
518,2021,Delhi,2021-06-01,Kolkata Knight Riders,Delhi Capitals,Chennai Super Kings,field,normal,0,Kolkata Knight Riders,71,6,Eden Gardens
519,2024,Bangalore,2021-06-02,Mumbai Indians,Rajasthan Royals,Mumbai Indians,bat,tie,0,Kolkata Knight Riders,68,8,Eden Gardens
520,2020,Jaipur,2021-06-03,Chennai Super Kings,Sunrisers Hyderabad,Royal Challengers Bangalore,bat,normal,0,Kolkata Knight Riders,1,2,Wankhede Stadium
521,2020,Bangalore,2021-06-04,Royal Challengers Bangalore,Sunrisers Hyderabad,Mumbai Indians,field,normal,0,Royal Challengers Bangalore,1,3,MA Chidambaram Stadium
522,2023,Chennai,2021-06-05,Kolkata Knight Riders,Delhi Capitals,Royal Challengers Bangalore,field,normal,0,Royal Challengers Bangalore,88,5,Eden Gardens
523,2021,Mohali,2021-06-06,Mumbai Indians,Delhi Capitals,Royal Challengers Bangalore,bat,normal,0,Chennai Super Kings,15,4,MA Chidambaram Stadium
524,2023,Bangalore,2021-06-07,Mumbai Indians,Delhi Capitals,Mumbai Indians,field,normal,0,Kolkata Knight Riders,80,0,Wankhede Stadium
525,2023,Bangalore,2021-06-08,Mumbai Indians,Sunrisers Hyderabad,Kolkata Knight Riders,bat,tie,0,Mumbai Indians,94,1,MA Chidambaram Stadium
526,2023,Mohali,2021-06-09,Royal Challengers Bangalore,Punjab Kings,Royal Challengers Bangalore,bat,normal,0,Kolkata Knight Riders,16,0,M Chinnaswamy Stadium
527,2023,Bangalore,2021-06-10,Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders,field,normal,1,Kolkata Knight Riders,41,3,Eden Gardens
528,2023,Jaipur,2021-06-11,Chennai Super Kings,Punjab Kings,Chennai Super Kings,field,tie,0,Chennai Super Kings,49,1,Wankhede Stadium
529,2021,Delhi,2021-06-12,Mumbai Indians,Sunrisers Hyderabad,Kolkata Knight Riders,bat,tie,0,Kolkata Knight Riders,24,3,MA Chidambaram Stadium
530,2023,Hyderabad,2021-06-13,Chennai Super Kings,Rajasthan Royals,Mumbai Indians,field,tie,0,Royal Challengers Bangalore,94,1,Eden Gardens
531,2020,Kolkata,2021-06-14,Royal Challengers Bangalore,Punjab Kings,Royal Challengers Bangalore,field,normal,0,Kolkata Knight Riders,84,7,Wankhede Stadium
532,2023,Jaipur,2021-06-15,Royal Challengers Bangalore,Sunrisers Hyderabad,Kolkata Knight Riders,field,normal,0,Chennai Super Kings,95,4,Eden Gardens
533,2023,Delhi,2021-06-16,Mumbai Indians,Sunrisers Hyderabad,Royal Challengers Bangalore,field,tie,0,Royal Challengers Bangalore,48,7,Eden Gardens
534,2022,Mumbai,2021-06-17,Kolkata Knight Riders,Punjab Kings,Royal Challengers Bangalore,bat,tie,0,Chennai Super Kings,72,6,Eden Gardens
535,2023,Delhi,2021-06-18,Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders,field,tie,0,Mumbai Indians,31,8,MA Chidambaram Stadium
536,2024,Kolkata,2021-06-19,Royal Challengers Bangalore,Punjab Kings,Mumbai Indians,bat,normal,0,Kolkata Knight Riders,42,0,M Chinnaswamy Stadium
537,2024,Delhi,2021-06-20,Mumbai Indians,Rajasthan Royals,Chennai Super Kings,field,normal,0,Mumbai Indians,19,6,M Chinnaswamy Stadium
538,2021,Bangalore,2021-06-21,Chennai Super Kings,Sunrisers Hyderabad,Kolkata Knight Riders,field,tie,0,Mumbai Indians,57,0,Wankhede Stadium
539,2024,Mumbai,2021-06-22,Chennai Super Kings,Sunrisers Hyderabad,Mumbai Indians,bat,normal,0,Chennai Super Kings,36,1,Wankhede Stadium
540,2022,Hyderabad,2021-06-23,Mumbai Indians,Delhi Capitals,Kolkata Knight Riders,field,normal,0,Chennai Super Kings,16,5,M Chinnaswamy Stadium
541,2024,Mohali,2021-06-24,Royal Challengers Bangalore,Rajasthan Royals,Chennai Super Kings,bat,tie,0,Mumbai Indians,7,5,Wankhede Stadium
542,2021,Bangalore,2021-06-25,Mumbai Indians,Punjab Kings,Mumbai Indians,field,normal,0,Kolkata Knight Riders,12,9,M Chinnaswamy Stadium
543,2021,Chennai,2021-06-26,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,field,normal,0,Chennai Super Kings,3,7,MA Chidambaram Stadium
544,2023,Mumbai,2021-06-27,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,bat,tie,0,Kolkata Knight Riders,55,8,Eden Gardens
545,2023,Kolkata,2021-06-28,Chennai Super Kings,Punjab Kings,Royal Challengers Bangalore,bat,normal,0,Chennai Super Kings,95,6,Eden Gardens
546,2021,Mohali,2021-06-29,Mumbai Indians,Rajasthan Royals,Chennai Super Kings,field,tie,0,Chennai Super Kings,33,1,MA Chidambaram Stadium
547,2023,Kolkata,2021-06-30,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,bat,tie,0,Royal Challengers Bangalore,69,7,Wankhede Stadium
548,2020,Chennai,2021-07-01,Chennai Super Kings,Sunrisers Hyderabad,Kolkata Knight Riders,bat,normal,1,Mumbai Indians,96,0,M Chinnaswamy Stadium
549,2021,Hyderabad,2021-07-02,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,bat,tie,0,Kolkata Knight Riders,38,7,M Chinnaswamy Stadium
550,2024,Chennai,2021-07-03,Kolkata Knight Riders,Sunrisers Hyderabad,Mumbai Indians,field,normal,0,Chennai Super Kings,99,9,M Chinnaswamy Stadium
551,2020,Mumbai,2021-07-04,Mumbai Indians,Rajasthan Royals,Kolkata Knight Riders,bat,tie,0,Mumbai Indians,53,7,Eden Gardens
552,2021,Chennai,2021-07-05,Kolkata Knight Riders,Sunrisers Hyderabad,Royal Challengers Bangalore,field,tie,0,Chennai Super Kings,61,0,MA Chidambaram Stadium
553,2021,Jaipur,2021-07-06,Chennai Super Kings,Rajasthan Royals,Kolkata Knight Riders,field,tie,0,Chennai Super Kings,46,7,M Chinnaswamy Stadium
554,2022,Jaipur,2021-07-07,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,field,normal,1,Royal Challengers Bangalore,62,8,Wankhede Stadium
555,2020,Mumbai,2021-07-08,Kolkata Knight Riders,Punjab Kings,Chennai Super Kings,bat,tie,0,Royal Challengers Bangalore,40,6,Wankhede Stadium
556,2024,Chennai,2021-07-09,Chennai Super Kings,Rajasthan Royals,Royal Challengers Bangalore,field,tie,0,Kolkata Knight Riders,42,6,MA Chidambaram Stadium
557,2024,Jaipur,2021-07-10,Kolkata Knight Riders,Punjab Kings,Royal Challengers Bangalore,field,normal,0,Mumbai Indians,38,2,MA Chidambaram Stadium
558,2021,Hyderabad,2021-07-11,Royal Challengers Bangalore,Punjab Kings,Mumbai Indians,bat,tie,0,Kolkata Knight Riders,61,3,Eden Gardens
559,2022,Bangalore,2021-07-12,Royal Challengers Bangalore,Punjab Kings,Kolkata Knight Riders,field,normal,0,Mumbai Indians,56,8,M Chinnaswamy Stadium
560,2024,Bangalore,2021-07-13,Royal Challengers Bangalore,Sunrisers Hyderabad,Royal Challengers Bangalore,bat,normal,0,Mumbai Indians,61,9,Wankhede Stadium
561,2024,Mumbai,2021-07-14,Royal Challengers Bangalore,Sunrisers Hyderabad,Kolkata Knight Riders,field,normal,0,Kolkata Knight Riders,95,0,MA Chidambaram Stadium
562,2023,Jaipur,2021-07-15,Royal Challengers Bangalore,Delhi Capitals,Mumbai Indians,bat,normal,0,Chennai Super Kings,85,8,Eden Gardens
563,2023,Hyderabad,2021-07-16,Royal Challengers Bangalore,Sunrisers Hyderabad,Royal Challengers Bangalore,field,normal,0,Royal Challengers Bangalore,66,6,Eden Gardens
564,2020,Jaipur,2021-07-17,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,field,normal,1,Chennai Super Kings,38,1,MA Chidambaram Stadium
565,2020,Chennai,2021-07-18,Royal Challengers Bangalore,Sunrisers Hyderabad,Chennai Super Kings,bat,tie,0,Chennai Super Kings,4,7,MA Chidambaram Stadium
566,2021,Mumbai,2021-07-19,Mumbai Indians,Delhi Capitals,Royal Challengers Bangalore,field,normal,0,Mumbai Indians,60,0,Wankhede Stadium
567,2023,Jaipur,2021-07-20,Kolkata Knight Riders,Punjab Kings,Royal Challengers Bangalore,field,normal,0,Kolkata Knight Riders,14,2,M Chinnaswamy Stadium
568,2022,Mohali,2021-07-21,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,field,tie,0,Kolkata Knight Riders,30,8,Wankhede Stadium
569,2023,Mohali,2021-07-22,Royal Challengers Bangalore,Sunrisers Hyderabad,Kolkata Knight Riders,bat,normal,0,Kolkata Knight Riders,54,0,MA Chidambaram Stadium
570,2022,Kolkata,2021-07-23,Royal Challengers Bangalore,Punjab Kings,Royal Challengers Bangalore,field,tie,0,Mumbai Indians,2,5,MA Chidambaram Stadium
571,2022,Delhi,2021-07-24,Kolkata Knight Riders,Delhi Capitals,Chennai Super Kings,field,normal,0,Chennai Super Kings,7,5,M Chinnaswamy Stadium
572,2020,Hyderabad,2021-07-25,Kolkata Knight Riders,Delhi Capitals,Royal Challengers Bangalore,bat,tie,0,Chennai Super Kings,38,9,Wankhede Stadium
573,2024,Mohali,2021-07-26,Mumbai Indians,Punjab Kings,Royal Challengers Bangalore,bat,normal,0,Chennai Super Kings,10,8,MA Chidambaram Stadium
574,2021,Chennai,2021-07-27,Royal Challengers Bangalore,Delhi Capitals,Kolkata Knight Riders,bat,normal,0,Kolkata Knight Riders,50,9,MA Chidambaram Stadium
575,2020,Jaipur,2021-07-28,Royal Challengers Bangalore,Punjab Kings,Chennai Super Kings,field,tie,0,Kolkata Knight Riders,45,2,Eden Gardens
576,2021,Mohali,2021-07-29,Kolkata Knight Riders,Delhi Capitals,Mumbai Indians,bat,normal,0,Kolkata Knight Riders,88,5,Eden Gardens
577,2020,Mumbai,2021-07-30,Kolkata Knight Riders,Delhi Capitals,Chennai Super Kings,field,tie,0,Kolkata Knight Riders,15,4,Eden Gardens
578,2024,Chennai,2021-07-31,Chennai Super Kings,Delhi Capitals,Kolkata Knight Riders,field,normal,0,Mumbai Indians,95,3,MA Chidambaram Stadium
579,2020,Hyderabad,2021-08-01,Mumbai Indians,Delhi Capitals,Chennai Super Kings,bat,normal,0,Royal Challengers Bangalore,90,3,Wankhede Stadium
580,2023,Chennai,2021-08-02,Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders,bat,normal,0,Kolkata Knight Riders,7,7,Wankhede Stadium
581,2022,Bangalore,2021-08-03,Mumbai Indians,Punjab Kings,Mumbai Indians,bat,normal,0,Kolkata Knight Riders,54,6,Wankhede Stadium
582,2024,Mumbai,2021-08-04,Kolkata Knight Riders,Sunrisers Hyderabad,Royal Challengers Bangalore,bat,tie,0,Mumbai Indians,12,9,M Chinnaswamy Stadium
583,2024,Chennai,2021-08-05,Royal Challengers Bangalore,Delhi Capitals,Mumbai Indians,bat,normal,0,Mumbai Indians,46,9,Wankhede Stadium
584,2024,Delhi,2021-08-06,Royal Challengers Bangalore,Sunrisers Hyderabad,Royal Challengers Bangalore,field,tie,0,Mumbai Indians,6,7,Wankhede Stadium
585,2024,Bangalore,2021-08-07,Mumbai Indians,Rajasthan Royals,Chennai Super Kings,field,normal,0,Royal Challengers Bangalore,48,8,M Chinnaswamy Stadium
586,2023,Mohali,2021-08-08,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,bat,normal,0,Kolkata Knight Riders,76,4,Wankhede Stadium
587,2022,Hyderabad,2021-08-09,Chennai Super Kings,Sunrisers Hyderabad,Mumbai Indians,bat,normal,0,Kolkata Knight Riders,18,6,Wankhede Stadium
588,2021,Chennai,2021-08-10,Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders,field,tie,0,Chennai Super Kings,66,4,MA Chidambaram Stadium
589,2020,Mumbai,2021-08-11,Kolkata Knight Riders,Rajasthan Royals,Chennai Super Kings,bat,tie,0,Mumbai Indians,28,0,Eden Gardens
590,2024,Jaipur,2021-08-12,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,field,normal,0,Mumbai Indians,70,6,Eden Gardens
591,2022,Delhi,2021-08-13,Royal Challengers Bangalore,Sunrisers Hyderabad,Mumbai Indians,field,normal,0,Royal Challengers Bangalore,45,1,Wankhede Stadium
592,2023,Delhi,2021-08-14,Kolkata Knight Riders,Punjab Kings,Kolkata Knight Riders,bat,normal,0,Royal Challengers Bangalore,28,2,M Chinnaswamy Stadium
593,2021,Kolkata,2021-08-15,Royal Challengers Bangalore,Sunrisers Hyderabad,Kolkata Knight Riders,field,normal,0,Royal Challengers Bangalore,16,1,M Chinnaswamy Stadium
594,2022,Delhi,2021-08-16,Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders,bat,tie,0,Mumbai Indians,62,7,M Chinnaswamy Stadium
595,2020,Delhi,2021-08-17,Kolkata Knight Riders,Punjab Kings,Royal Challengers Bangalore,field,normal,0,Kolkata Knight Riders,30,8,M Chinnaswamy Stadium
596,2020,Jaipur,2021-08-18,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,field,tie,0,Chennai Super Kings,67,6,Eden Gardens
597,2021,Mumbai,2021-08-19,Chennai Super Kings,Punjab Kings,Mumbai Indians,bat,tie,0,Kolkata Knight Riders,28,3,M Chinnaswamy Stadium
598,2024,Bangalore,2021-08-20,Chennai Super Kings,Punjab Kings,Kolkata Knight Riders,field,tie,0,Kolkata Knight Riders,79,5,MA Chidambaram Stadium
599,2023,Jaipur,2021-08-21,Chennai Super Kings,Sunrisers Hyderabad,Mumbai Indians,bat,tie,0,Chennai Super Kings,32,4,Eden Gardens
600,2022,Mohali,2021-08-22,Kolkata Knight Riders,Punjab Kings,Royal Challengers Bangalore,field,tie,0,Kolkata Knight Riders,81,7,MA Chidambaram Stadium
601,2023,Kolkata,2021-08-23,Chennai Super Kings,Sunrisers Hyderabad,Royal Challengers Bangalore,bat,normal,0,Chennai Super Kings,92,1,Wankhede Stadium
602,2023,Kolkata,2021-08-24,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,field,normal,0,Royal Challengers Bangalore,94,7,MA Chidambaram Stadium
603,2021,Delhi,2021-08-25,Mumbai Indians,Punjab Kings,Chennai Super Kings,bat,tie,0,Royal Challengers Bangalore,39,1,Wankhede Stadium
604,2023,Mohali,2021-08-26,Chennai Super Kings,Rajasthan Royals,Royal Challengers Bangalore,bat,tie,0,Chennai Super Kings,30,2,Wankhede Stadium
605,2022,Chennai,2021-08-27,Kolkata Knight Riders,Punjab Kings,Mumbai Indians,field,normal,0,Royal Challengers Bangalore,86,5,M Chinnaswamy Stadium
606,2024,Hyderabad,2021-08-28,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,bat,tie,0,Kolkata Knight Riders,3,2,Wankhede Stadium
607,2020,Chennai,2021-08-29,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,bat,tie,0,Mumbai Indians,3,9,M Chinnaswamy Stadium
608,2022,Mohali,2021-08-30,Mumbai Indians,Rajasthan Royals,Kolkata Knight Riders,bat,tie,0,Chennai Super Kings,34,2,Wankhede Stadium
609,2024,Mohali,2021-08-31,Kolkata Knight Riders,Delhi Capitals,Mumbai Indians,bat,tie,0,Kolkata Knight Riders,48,0,MA Chidambaram Stadium
610,2024,Delhi,2021-09-01,Royal Challengers Bangalore,Rajasthan Royals,Chennai Super Kings,bat,normal,0,Royal Challengers Bangalore,13,2,Wankhede Stadium
611,2024,Jaipur,2021-09-02,Royal Challengers Bangalore,Punjab Kings,Royal Challengers Bangalore,field,tie,0,Kolkata Knight Riders,29,5,MA Chidambaram Stadium
612,2021,Kolkata,2021-09-03,Kolkata Knight Riders,Delhi Capitals,Royal Challengers Bangalore,field,normal,0,Royal Challengers Bangalore,31,8,M Chinnaswamy Stadium
613,2020,Chennai,2021-09-04,Kolkata Knight Riders,Rajasthan Royals,Royal Challengers Bangalore,field,tie,0,Chennai Super Kings,95,6,MA Chidambaram Stadium
614,2024,Delhi,2021-09-05,Chennai Super Kings,Sunrisers Hyderabad,Kolkata Knight Riders,bat,tie,0,Mumbai Indians,83,8,MA Chidambaram Stadium
615,2024,Mumbai,2021-09-06,Kolkata Knight Riders,Punjab Kings,Royal Challengers Bangalore,bat,normal,0,Kolkata Knight Riders,27,4,Eden Gardens
616,2024,Mohali,2021-09-07,Royal Challengers Bangalore,Sunrisers Hyderabad,Mumbai Indians,bat,normal,0,Mumbai Indians,62,2,M Chinnaswamy Stadium
617,2023,Kolkata,2021-09-08,Royal Challengers Bangalore,Punjab Kings,Kolkata Knight Riders,field,normal,0,Mumbai Indians,33,3,MA Chidambaram Stadium
618,2021,Mumbai,2021-09-09,Kolkata Knight Riders,Rajasthan Royals,Mumbai Indians,field,normal,0,Mumbai Indians,33,4,Eden Gardens
619,2021,Chennai,2021-09-10,Chennai Super Kings,Punjab Kings,Royal Challengers Bangalore,bat,tie,0,Mumbai Indians,51,1,Eden Gardens
620,2020,Jaipur,2021-09-11,Mumbai Indians,Punjab Kings,Chennai Super Kings,bat,normal,0,Mumbai Indians,19,7,Wankhede Stadium
621,2024,Delhi,2021-09-12,Kolkata Knight Riders,Rajasthan Royals,Royal Challengers Bangalore,field,normal,1,Chennai Super Kings,92,6,Eden Gardens
622,2023,Mumbai,2021-09-13,Kolkata Knight Riders,Punjab Kings,Royal Challengers Bangalore,bat,normal,0,Chennai Super Kings,40,4,MA Chidambaram Stadium
623,2023,Mohali,2021-09-14,Royal Challengers Bangalore,Punjab Kings,Kolkata Knight Riders,bat,normal,0,Royal Challengers Bangalore,10,7,Wankhede Stadium
624,2022,Hyderabad,2021-09-15,Mumbai Indians,Rajasthan Royals,Mumbai Indians,bat,normal,0,Royal Challengers Bangalore,81,9,Eden Gardens
625,2024,Delhi,2021-09-16,Chennai Super Kings,Delhi Capitals,Mumbai Indians,bat,normal,0,Royal Challengers Bangalore,0,3,M Chinnaswamy Stadium
626,2022,Mohali,2021-09-17,Chennai Super Kings,Punjab Kings,Mumbai Indians,field,tie,0,Chennai Super Kings,82,0,MA Chidambaram Stadium
627,2023,Chennai,2021-09-18,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,field,tie,0,Mumbai Indians,33,1,Eden Gardens
628,2020,Chennai,2021-09-19,Royal Challengers Bangalore,Punjab Kings,Mumbai Indians,bat,normal,0,Mumbai Indians,44,5,Eden Gardens
629,2024,Mohali,2021-09-20,Mumbai Indians,Sunrisers Hyderabad,Kolkata Knight Riders,field,normal,0,Chennai Super Kings,21,0,MA Chidambaram Stadium
630,2023,Mohali,2021-09-21,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,field,tie,0,Mumbai Indians,69,2,Wankhede Stadium
631,2023,Kolkata,2021-09-22,Royal Challengers Bangalore,Punjab Kings,Royal Challengers Bangalore,bat,normal,0,Mumbai Indians,57,7,M Chinnaswamy Stadium
632,2021,Delhi,2021-09-23,Mumbai Indians,Punjab Kings,Royal Challengers Bangalore,bat,normal,0,Kolkata Knight Riders,3,4,M Chinnaswamy Stadium
633,2023,Chennai,2021-09-24,Kolkata Knight Riders,Sunrisers Hyderabad,Royal Challengers Bangalore,bat,normal,0,Royal Challengers Bangalore,71,8,MA Chidambaram Stadium
634,2021,Bangalore,2021-09-25,Kolkata Knight Riders,Punjab Kings,Kolkata Knight Riders,field,tie,0,Chennai Super Kings,21,4,M Chinnaswamy Stadium
635,2021,Kolkata,2021-09-26,Chennai Super Kings,Delhi Capitals,Kolkata Knight Riders,bat,normal,1,Mumbai Indians,96,3,Eden Gardens
636,2021,Mumbai,2021-09-27,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,bat,normal,1,Royal Challengers Bangalore,50,4,MA Chidambaram Stadium
637,2021,Mohali,2021-09-28,Mumbai Indians,Sunrisers Hyderabad,Chennai Super Kings,bat,tie,0,Royal Challengers Bangalore,52,6,Eden Gardens
638,2023,Mumbai,2021-09-29,Royal Challengers Bangalore,Rajasthan Royals,Chennai Super Kings,bat,tie,0,Kolkata Knight Riders,56,1,Wankhede Stadium
639,2022,Delhi,2021-09-30,Kolkata Knight Riders,Punjab Kings,Royal Challengers Bangalore,field,normal,0,Chennai Super Kings,54,0,Wankhede Stadium
640,2023,Chennai,2021-10-01,Royal Challengers Bangalore,Delhi Capitals,Mumbai Indians,field,normal,1,Royal Challengers Bangalore,75,1,M Chinnaswamy Stadium
641,2022,Mohali,2021-10-02,Kolkata Knight Riders,Rajasthan Royals,Chennai Super Kings,field,normal,0,Kolkata Knight Riders,64,7,Wankhede Stadium
642,2020,Delhi,2021-10-03,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,bat,normal,0,Royal Challengers Bangalore,44,8,Eden Gardens
643,2022,Kolkata,2021-10-04,Chennai Super Kings,Sunrisers Hyderabad,Kolkata Knight Riders,field,normal,0,Chennai Super Kings,39,7,MA Chidambaram Stadium
644,2020,Mumbai,2021-10-05,Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders,bat,tie,0,Mumbai Indians,92,0,MA Chidambaram Stadium
645,2024,Mohali,2021-10-06,Mumbai Indians,Rajasthan Royals,Royal Challengers Bangalore,field,normal,0,Royal Challengers Bangalore,91,4,MA Chidambaram Stadium
646,2023,Hyderabad,2021-10-07,Mumbai Indians,Delhi Capitals,Chennai Super Kings,field,tie,0,Chennai Super Kings,98,4,Wankhede Stadium
647,2021,Chennai,2021-10-08,Royal Challengers Bangalore,Delhi Capitals,Royal Challengers Bangalore,bat,tie,0,Kolkata Knight Riders,25,7,M Chinnaswamy Stadium
648,2022,Bangalore,2021-10-09,Royal Challengers Bangalore,Delhi Capitals,Royal Challengers Bangalore,bat,normal,0,Royal Challengers Bangalore,17,4,Wankhede Stadium
649,2021,Jaipur,2021-10-10,Mumbai Indians,Rajasthan Royals,Chennai Super Kings,bat,normal,0,Mumbai Indians,14,0,Wankhede Stadium
650,2020,Hyderabad,2021-10-11,Royal Challengers Bangalore,Punjab Kings,Royal Challengers Bangalore,field,normal,0,Chennai Super Kings,81,1,MA Chidambaram Stadium
651,2022,Kolkata,2021-10-12,Royal Challengers Bangalore,Rajasthan Royals,Mumbai Indians,bat,normal,0,Royal Challengers Bangalore,98,0,MA Chidambaram Stadium
652,2020,Mumbai,2021-10-13,Mumbai Indians,Punjab Kings,Kolkata Knight Riders,bat,tie,0,Royal Challengers Bangalore,4,9,M Chinnaswamy Stadium
653,2021,Mumbai,2021-10-14,Chennai Super Kings,Sunrisers Hyderabad,Kolkata Knight Riders,bat,normal,1,Chennai Super Kings,75,4,Eden Gardens
654,2023,Bangalore,2021-10-15,Kolkata Knight Riders,Delhi Capitals,Royal Challengers Bangalore,field,normal,0,Kolkata Knight Riders,48,7,Wankhede Stadium
655,2024,Delhi,2021-10-16,Royal Challengers Bangalore,Rajasthan Royals,Mumbai Indians,bat,normal,0,Kolkata Knight Riders,86,6,Wankhede Stadium
656,2022,Mumbai,2021-10-17,Kolkata Knight Riders,Sunrisers Hyderabad,Royal Challengers Bangalore,field,tie,0,Kolkata Knight Riders,34,4,M Chinnaswamy Stadium
657,2020,Mumbai,2021-10-18,Chennai Super Kings,Sunrisers Hyderabad,Mumbai Indians,field,normal,0,Mumbai Indians,3,5,Wankhede Stadium
658,2022,Chennai,2021-10-19,Royal Challengers Bangalore,Sunrisers Hyderabad,Mumbai Indians,bat,normal,0,Mumbai Indians,26,9,M Chinnaswamy Stadium
659,2021,Mumbai,2021-10-20,Mumbai Indians,Sunrisers Hyderabad,Royal Challengers Bangalore,bat,normal,0,Kolkata Knight Riders,56,1,Wankhede Stadium
660,2022,Hyderabad,2021-10-21,Chennai Super Kings,Sunrisers Hyderabad,Mumbai Indians,bat,tie,1,Royal Challengers Bangalore,81,0,Wankhede Stadium
661,2023,Mumbai,2021-10-22,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,field,normal,0,Kolkata Knight Riders,58,0,M Chinnaswamy Stadium
662,2023,Kolkata,2021-10-23,Kolkata Knight Riders,Delhi Capitals,Royal Challengers Bangalore,bat,normal,0,Mumbai Indians,70,1,Eden Gardens
663,2024,Hyderabad,2021-10-24,Kolkata Knight Riders,Punjab Kings,Kolkata Knight Riders,bat,normal,0,Royal Challengers Bangalore,33,2,Wankhede Stadium
664,2021,Mohali,2021-10-25,Royal Challengers Bangalore,Sunrisers Hyderabad,Kolkata Knight Riders,field,normal,0,Royal Challengers Bangalore,41,9,M Chinnaswamy Stadium
